Game ID,Game Number,Date,Time,Season,Gametype,Map,Landing Site,Death Site,Landed Hot Zone,Legend Selected,Legend Selection Number,Second Legend Selected,Third Legend Selected,Partied Up?,Jumpmaster,Damage Done,Teammate 1 Dmg Done,Teammate 2 Dmg Done,My Rank,Teammate 1 Rank,Teammate 2 Rank,Higher Level Spotted?,Has Low Level TM (<500),TM 1 Ranked Badge,TM 2 Ranked Badge,TM1 Kills Badge,TM2 Kills Badge,Survival Time,Teammate 1 Survival Time,Teammate 2 Survival Time,Kills,Teammate 1 Kills,Teammate 2 Kills,Knockdowns,First Legend Death,Second Legend Death,Third Legend Death,Squad Placed,Revive Given,Teammate 1 Revive Given,Teammate 2 Revive Given,Respawn Given,Teammate 1 Respawn Given,Teammate 2 Respawn Given,Teammate 1 Console,Teammate 2 Console,Died Phase 1,Primary Weapon 1,Primary Weapon 2
GID-11,11,1/17/2021,14:14,7,Ranked,Worlds Edge,Sorting Factory,Sorting Factory,,Bangalore,3,Caustic,Wraith,,,243,6,20,,Gold 4,Plat 4,,,,,,,02:43,01:22,01:25,0,0,0,0,Caustic,Wraith,Bangalore,18,0,0,0,0,0,0,PS4,PS4,TRUE,Hemlok,
GID-12,12,1/17/2021,14:26,7,Ranked,Worlds Edge,Capitol City,The Tree,,Bangalore,1,Wattson,Wraith,,,913,402,737,,Plat 4,Plat 4,,,,,,,14:26,12:47,14:44,2,2,4,2,Wattson,Wraith,Bangalore,5,0,1,3,0,0,0,Xbox,Xbox,FALSE,R-99,G7-Scout
GID-13,13,1/17/2021,14:57,7,Ranked,Worlds Edge,Capitol City,Capitol City,,Bangalore,3,Lifeline,Octane,,,42,42,441,,Plat 4,Plat 4,,,,,,,02:01,02:01,02:02,0,0,0,2,Lifeline,Bangalore,Octane,19,0,0,0,0,0,0,PS4,PS4,TRUE,Spitfire,Triple Take
GID-14,14,1/17/2021,15:02,7,Ranked,Worlds Edge,Overlook,Overlook,,Bangalore,2,Bloodhound,Loba,,,48,135,52,,Plat 4,Diamond 4,,,,,,,01:16,01:30,01:15,0,0,0,0,Bangalore,Loba,Octane,20,0,0,0,0,0,0,PS4,PS4,TRUE,Mozambique,
GID-15,15,1/17/2021,15:08,7,Ranked,Worlds Edge,Countdown,Skyhook,,Bangalore,2,Bloodhound,Lifeline,,,468,246,650,,Gold 4,Plat 4,,,,,,,08:44,08:36,08:45,1,1,3,1,Bangalore,Bloodhound,Lifeline,12,1,0,1,0,0,0,PS4,PS4,FALSE,R-99,G7-Scout
GID-16,16,1/17/2021,15:19,7,Ranked,Worlds Edge,Countdown,Countdown,,Bangalore,2,Gibraltar,Bloodhound,,,0,209,295,,Diamond 4,Plat 4,,,,,,,12:54,16:26,16:26,0,0,0,0,Bangalore,Gibraltar,Bloodhound,8,0,0,0,0,0,0,PS4,PS4,FALSE,G7-Scout,R-99
GID-17,17,1/17/2021,15:40,7,Ranked,Worlds Edge,Overlook,Skyhook,,Bangalore,3,Bloodhound,Crypto,,,"1,429",933,"1,735",,Plat 4,Plat 4,,,,,,,14:29,22:12,17:35,2,1,2,3,Bangalore,Bloodhound,,1,0,0,0,0,0,0,PS4,PS4,FALSE,Longbow,Havoc
GID-18,18,1/17/2021,16:12,7,Ranked,Worlds Edge,Overlook,Overlook,,Bangalore,1,Pathfinder,Loba,,,0,6,38,,Gold 4,Plat 4,,,,,,,02:05,02:05,02:05,0,0,0,0,Bangalore,Pathfinder,Loba,18,0,0,0,0,0,0,PS4,PS4,TRUE,RE-45,G7-Scout
GID-19,19,1/17/2021,16:17,7,Ranked,Worlds Edge,Sorting Factory,Sorting Factory,,Bangalore,1,Lifeline,Bloodhound,,,68,0,85,,Plat 1,Plat 3,,,,,,,04:53,05:29,05:29,0,0,0,0,Bangalore,Lifeline,Bloodhound,15,0,1,0,0,0,0,PS4,PS4,TRUE,Longbow,R-99
GID-20,20,1/17/2021,18:03,7,Ranked,Worlds Edge,Countdown,The Train Yard,,Bangalore,2,Octane,Gibraltar,,,"1,103",802,"1,021",,Plat 4,Plat 1,,,,,,,12:07,12:07,12:07,2,6,1,2,Gibraltar,Bangalore,Octane,10,1,0,0,0,2,0,PS4,PS4,FALSE,R-99,Hemlok
GID-21,21,1/17/2021,18:22,7,Ranked,Worlds Edge,Sorting Factory,Sorting Factory,,Bangalore,1,Mirage,Gibraltar,,,59,91,86,,Plat 4,Plat 4,,,,,,,01:20,01:20,01:20,0,0,0,1,Mirage,Gibraltar,Bangalore,20,0,0,0,0,0,0,PS4,PS4,TRUE,R301,
GID-22,22,1/17/2021,18:27,7,Ranked,Worlds Edge,Countdown,,,Bangalore,3,Wraith,Bloodhound,,,"2,005","2,120","1,004",,Diamond 4,Plat 4,,,,,,,20:58,20:58,20:58,1,6,8,1,,,,1,0,0,0,0,0,0,PS4,PS4,FALSE,G7-Scout,R-99
GID-23,23,1/17/2021,18:54,7,Ranked,Worlds Edge,Sorting Factory,Harvester,,Wraith,2,Bangalore,Bloodhound,,,998,"1,258","1,107",,Plat 4,Plat 4,,,,,,,16:42,16:42,16:42,2,5,4,3,Bangalore,Bloodhound,Wraith,3,1,1,0,0,0,0,PS4,Xbox,FALSE,Volt,Hemlok
GID-24,24,1/17/2021,19:15,7,Ranked,Worlds Edge,The Geyser,Overlook,,Bangalore,1,Caustic,Wraith,,,"1,181",409,969,,Plat 2,Diamond 4,,,,,,,20:47,10:41,20:47,1,0,1,3,Caustic,Wraith,Bangalore,3,0,1,0,0,0,1,PS4,PS4,FALSE,Hemlok,Alternator
GID-25,25,1/17/2021,19:40,7,Airdrop Assault,Kings Canyon,Bunker,Bunker,,Bangalore,1,Octane,Horizon,,,587,142,108,,,,,,,,,,02:23,02:23,02:23,2,0,0,4,Horizon,Octane,Bangalore,17,2,0,0,0,0,0,PS4,PS4,TRUE,Charge Rifle,Volt
GID-26,26,1/17/2021,20:39,7,Airdrop Assault,Kings Canyon,Water Treatment,,,Bangalore,1,Bloodhound,Mirage,,,"2,555","1,003","1,440",,,,,,,,,,18:32,18:32,18:32,3,5,4,4,Mirage,Bloodhound,,1,1,1,1,0,1,0,Unknown,Unknown,FALSE,Triple Take,R-99
GID-27,27,1/19/2021,21:44,7,Ranked,Worlds Edge,Sorting Factory,Harvester,,Bangalore,2,Gibraltar,Caustic,,,424,485,786,,Plat 4,Plat 4,,,,,,,07:08,07:08,07:08,0,1,2,0,Bangalore,Gibraltar,Caustic,13,0,0,0,0,0,0,PS4,PS4,FALSE,Volt,Hemlok
GID-28,28,1/19/2021,22:01,7,Ranked,Worlds Edge,Capitol City,Capitol City,,Bangalore,1,Octane,Wraith,,,452,255,410,,Unknown,Unknown,,,,,,,02:59,02:59,02:59,2,0,1,3,Octane,Wraith,Bangalore,17,0,0,0,0,0,0,PS4,PS4,FALSE,Volt,RE-45
GID-29,29,1/19/2021,22:22,7,Ranked,Worlds Edge,Overlook,Thermal Station,,Bangalore,3,Crypto,Horizon,,,516,416,77,,Plat 4,Gold 2,,,,,,,14:16,14:16,13:03,0,0,0,0,Horizon,Crypto,Bangalore,9,0,0,0,0,0,0,Xbox,Xbox,FALSE,G7-Scout,R-99
GID-30,30,1/19/2021,22:40,7,Ranked,Worlds Edge,Sorting Factory,Sorting Factory,,Bangalore,1,Loba,Revenant,,,397,101,180,,Silver 1,Silver 1,,,,,,,02:23,02:23,02:23,1,0,0,2,Loba,Bangalore,Revenant,20,0,0,0,0,0,0,PS4,PS4,TRUE,Mastiff,Spitfire
GID-31,31,1/19/2021,23:15,7,Ranked,Worlds Edge,Sorting Factory,Sorting Factory,,Wraith,2,Bangalore,Lifeline,,,501,0,52,,Plat 4,Plat 4,,,,,,,02:38,02:01,02:07,1,0,0,2,Bangalore,Lifeline,Wraith,17,0,0,1,0,0,0,Xbox,Xbox,TRUE,Volt,Wingman
GID-32,32,1/19/2021,23:33,7,Trios,Kings Canyon,Artillery,Bunker,,Bangalore,2,Rampart,Wraith,,,843,431,478,,,,,,,,,,12:24,12:24,12:24,4,0,1,4,Wraith,Rampart,Bangalore,4,2,0,0,0,0,0,Unknown,Unknown,FALSE,Havoc,G7-Scout
GID-33,33,1/20/2021,22:00,7,Trios,Olympus,Hammond Labs,Energy Depot,,Bangalore,3,Octane,Lifeline,,,629,571,440,,,,,,,,,,12:47,12:30,12:47,1,3,0,2,Octane,Lifeline,Bangalore,5,0,1,1,0,0,0,PS4,PS4,FALSE,Havoc,G7-Scout
GID-34,34,1/20/2021,22:17,7,Trios,Olympus,Estates,Estates,,Bangalore,2,Lifeline,Wraith,,,240,0,205,,,,,,,,,,02:18,02:18,02:18,0,0,1,0,Lifeline,Wraith,Bangalore,16,1,1,0,0,0,0,PS4,PS4,TRUE,Spitfire,Sentinel
GID-35,35,1/20/2021,22:26,7,Trios,Olympus,Hammond Labs,Estates,,Loba,3,Horizon,Bangalore,,,"1,786","2,424",542,,,,,,,,,,21:23,21:23,10:22,3,2,1,5,Bangalore,Horizon,Loba,2,0,0,0,1,0,0,Xbox,Unknown,FALSE,Havoc,Hemlok
GID-36,36,1/21/2021,21:20,7,Trios,Olympus,Hammond Labs,Estates,,Bangalore,3,Rampart,Loba,,,817,768,246,,,,,,,,,,08:25,08:10,07:17,0,3,0,2,Loba,Rampart,Bangalore,5,1,0,0,0,0,0,PS4,PS4,FALSE,R-99,G7-Scout
GID-37,37,1/21/2021,21:32,7,Trios,Olympus,Hydroponics,Grow Towers,,Bangalore,2,Bloodhound,Caustic,,,585,505,762,,,,,,,,,,19:37,19:37,19:37,1,1,1,1,Caustic,Bloodhound,Bangalore,5,0,0,1,0,0,0,PS4,PS4,FALSE,Hemlok,Volt
GID-38,38,1/21/2021,21:55,7,Trios,Olympus,Gardens,Hammond Labs,,Bangalore,2,Revenant,Lifeline,,,"1,031",620,235,,,,,,,,,,12:45,12:31,10:26,2,2,2,3,Lifeline,Revenant,Bangalore,2,2,0,1,1,0,0,PS4,PS4,FALSE,R-99,G7-Scout
GID-39,39,1/21/2021,22:16,7,Trios,Worlds Edge,Sorting Factory,Capitol City,,Bangalore,2,Lifeline,Bloodhound,,,442,496,"1,343",,,,,,,,,,15:04,14:36,14:36,1,2,6,2,Lifeline,Bloodhound,Bangalore,5,0,0,2,2,0,0,PS4,PS4,FALSE,Wingman,R-99
GID-40,40,1/21/2021,22:36,7,Ranked,Worlds Edge,Skyhook,,,Bangalore,3,Caustic,Gibraltar,,,"1,509","1,683","3,185",,Plat 1,Gold 1,,,,,,,22:00,22:00,22:00,3,6,7,4,,,,1,0,1,0,0,0,0,PS4,Unknown,FALSE,Wingman,Havoc
GID-41,41,1/22/2021,23:05,7,Trios,Olympus,Gardens,Gardens,,Bangalore,2,Horizon,Lifeline,,,114,134,233,,,,,,,,,,00:47,01:56,02:15,0,1,1,0,Bangalore,Horizon,Lifeline,14,0,0,0,0,0,0,PS4,PS4,TRUE,Flatline,
GID-42,42,1/23/2021,21:39,7,Ranked,Worlds Edge,Lava Fissure,The Tree,,Bangalore,2,Wraith,Mirage,,,595,"1,120","2,025",,Diamond 4,Plat 2,,,,,,,16:34,17:13,19:06,1,4,2,1,Bangalore,Wraith,Mirage,5,1,3,0,0,1,0,Xbox,PS4,FALSE,Hemlok,Alternator
GID-43,43,1/23/2021,22:06,7,Ranked,Worlds Edge,Sorting Factory,Capitol City,,Bangalore,1,Wraith,Bloodhound,,,"1,153",939,778,,Plat 2,Plat 4,,,,,,,22:23,21:56,22:17,3,3,1,5,Wraith,Bloodhound,Bangalore,2,0,2,2,0,1,0,PS4,PS4,FALSE,G7-Scout,R-99
GID-44,44,1/24/2021,12:43,7,Trios,Olympus,Hammond Labs,Hammond Labs,,Wraith,3,Pathfinder,Caustic,,,118,0,171,,,,,,,,,,01:40,01:40,01:40,0,0,0,0,Wraith,Caustic,Pathfinder,17,0,0,0,0,0,0,PS4,PS4,TRUE,Alternator,
GID-45,45,1/24/2021,12:48,7,Trios,Olympus,Estates,Estates,,Wraith,2,Bloodhound,Crypto,,,72,64,367,,,,,,,,,,02:01,01:08,02:01,0,0,0,0,Bloodhound,Crypto,Wraith,18,0,0,0,0,0,0,PS4,PS4,TRUE,Longbow,RE-45
GID-46,46,1/24/2021,12:54,7,Trios,Olympus,Gardens,Carrier,,Wraith,2,Octane,Loba,,,973,"1,357",990,,,,,,,,,,12:21,12:21,12:21,1,7,0,3,Loba,Octane,Wraith,2,0,0,1,0,0,0,PS4,Xbox,FALSE,R301,Volt
GID-47,47,1/24/2021,13:21,7,Trios,Olympus,Gardens,Gardens,,Wraith,3,Lifeline,Horizon,,,236,96,84,,,,,,,,,,02:01,02:01,02:01,0,0,0,0,Horizon,Lifeline,Wraith,14,0,1,0,0,0,0,PS4,PS4,TRUE,Eva-8,
GID-48,48,1/24/2021,13:25,7,Trios,Olympus,Hammond Labs,Hammond Labs,,Wraith,2,Lifeline,Revenant,,,30,93,0,,,,,,,,,,01:00,01:00,01:00,0,0,0,0,Lifeline,Revenant,Wraith,19,0,0,0,0,0,0,PS4,Xbox,TRUE,P220,Mozambique
GID-49,49,1/24/2021,13:30,7,Trios,Olympus,Estates,Estates,,Wraith,1,Horizon,Loba,,,309,72,160,,,,,,,,,,02:04,01:25,02:04,0,0,0,1,Horizon,Loba,Wraith,17,0,0,0,0,0,0,PS4,Xbox,TRUE,R301,RE-45
GID-50,50,1/24/2021,13:34,7,Trios,Olympus,Estates,Estates,,Bangalore,2,Wraith,Horizon,,,995,"1,146",344,,,,,,,,,,12:51,12:51,12:51,4,2,0,4,Horizon,Wraith,Bangalore,2,0,1,0,0,0,0,PS4,Unknown,FALSE,Volt,Wingman
GID-51,51,1/24/2021,14:00,7,Trios,Olympus,Gardens,Gardens,,Wraith,2,Octane,Horizon,,,661,945,0,,,,,,,,,,06:07,05:45,03:16,1,3,0,3,Horizon,Octane,Wraith,7,0,0,0,0,0,0,Xbox,PS4,FALSE,Wingman,Spitfire
GID-52,52,1/24/2021,14:09,7,Trios,Worlds Edge,Capitol City,Capitol City,,Wraith,2,Lifeline,Horizon,,,224,171,42,,Unknown,Unknown,,,,,,,02:49,02:38,02:08,2,0,0,2,Horizon,Lifeline,Wraith,15,1,0,0,0,0,0,PS4,PS4,FALSE,Wingman,Spitfire
GID-53,53,1/24/2021,15:14,7,Ranked,Worlds Edge,Capitol City,Capitol City,,Bangalore,2,Caustic,Wraith,,,163,421,76,,Unknown,Unknown,,,,,,,01:59,01:58,01:34,0,0,0,1,Wraith,Bangalore,Caustic,17,0,0,0,0,0,0,Xbox,Xbox,TRUE,Devotion,Hemlok
GID-54,54,1/24/2021,15:19,7,Ranked,Worlds Edge,Lava Fissure,Countdown,,Bangalore,3,Caustic,Gibraltar,,,195,283,689,,Diamond 4,Plat 2,,,,,,,07:53,09:02,08:11,1,2,0,1,Bangalore,Gibraltar,Caustic,9,0,0,2,0,0,0,PS4,PS4,FALSE,Volt,G7-Scout
GID-55,55,1/24/2021,15:32,7,Ranked,Worlds Edge,Epicentre,,,Bangalore,3,Mirage,Wraith,,,"2,011","2,140","1,600",,Unknown,Unknown,,,,,,,22:22,20:01,22:22,3,5,5,4,,,,1,0,1,0,0,0,0,Xbox,PS4,FALSE,Volt,Wingman
GID-56,56,1/24/2021,16:02,7,Ranked,Worlds Edge,The Train Yard,Epicentre,,Wraith,1,Bloodhound,Lifeline,,,"1,000","1,262",643,,Plat 4,Plat 4,,,,,,,20:20,20:20,19:21,0,4,0,1,Lifeline,Wraith,Bloodhound,3,0,1,0,0,0,0,PS4,PS4,FALSE,Flatline,G7-Scout
GID-57,57,1/24/2021,16:30,7,Ranked,Worlds Edge,Sorting Factory,Countdown,,Bangalore,2,Wraith,Lifeline,,,386,"1,003","1,050",,Plat 4,Plat 4,,,,,,,19:07,19:08,18:43,1,3,3,1,Bangalore,Lifeline,Wraith,4,0,0,2,0,2,0,Xbox,Xbox,FALSE,Flatline,Volt
GID-58,58,1/24/2021,16:51,7,Trios,Olympus,Hammond Labs,Grow Towers,,Wraith,2,Pathfinder,Bangalore,,,553,141,127,,,,,,,,,,09:29,09:09,09:29,0,0,0,0,Bangalore,Pathfinder,Wraith,5,0,0,0,0,0,0,PS4,PS4,FALSE,Wingman,Volt
GID-59,59,1/24/2021,17:07,7,Trios,Olympus,Hammond Labs,Solar Array,,Bangalore,3,Wraith,Horizon,,,226,0,228,,,,,,,,,,05:55,05:56,05:21,0,0,1,0,Wraith,Horizon,Bangalore,10,0,0,0,0,0,0,Xbox,PS4,FALSE,Volt,Hemlok
GID-60,60,1/24/2021,17:20,7,Trios,Olympus,Oasis,Oasis,,Bangalore,2,Wraith,Horizon,,,60,399,0,,,,,,,,,,01:18,01:22,00:57,0,3,0,0,Horizon,Bangalore,Wraith,17,0,0,0,0,0,0,PS4,PS4,TRUE,R-99,
GID-61,61,1/24/2021,17:56,7,Ranked,Worlds Edge,Sorting Factory,Sorting Factory,,Wraith,1,Pathfinder,Mirage,,,48,76,150,,Diamond 4,Plat 4,,,,,,,01:55,01:55,01:55,0,0,0,0,Wraith,Pathfinder,Mirage,18,0,0,0,0,0,0,PS4,Xbox,TRUE,RE-45,Triple Take
GID-62,62,1/24/2021,18:00,7,Ranked,Worlds Edge,Lava Fissure,Epicentre,,Wraith,3,Lifeline,Caustic,,,134,203,223,,Plat 4,Plat 2,,,,,,,12:07,11:34,12:07,0,0,1,0,Lifeline,Wraith,Caustic,5,0,0,0,0,0,0,Xbox,Xbox,FALSE,G7-Scout,R-99
GID-63,63,1/24/2021,19:16,7,Trios,Olympus,Orbital Cannon,Orbital Cannon,,Wraith,2,Lifeline,Octane,,,611,103,120,,,,,,,,,,07:41,07:06,07:11,0,0,0,2,Octane,Lifeline,Wraith,9,0,2,0,0,0,0,Xbox,Xbox,FALSE,Hemlok,Havoc
GID-64,64,1/24/2021,19:28,7,Trios,Olympus,Hammond Labs,Estates,,Wraith,3,Gibraltar,Pathfinder,,,748,496,648,,,,,,,,,,07:35,07:35,07:35,3,1,4,4,Gibraltar,Pathfinder,Wraith,6,0,0,2,0,0,0,PS4,Xbox,FALSE,Mastiff,Volt
GID-65,65,1/24/2021,09:48,7,Ranked,Worlds Edge,Lava City,,,Bangalore,2,Caustic,Wraith,,,"1,198",771,"1,601",,Plat 4 ,Diamond 4,,,,,,,14:24,14:24,14:24,2,2,5,2,,,,1,0,0,0,0,0,0,Unknown,Xbox,FALSE,Triple Take,R-99
GID-66,66,1/24/2021,10:08,7,Ranked,Worlds Edge,Sorting Factory,Sorting Factory,,Wraith,3,Lifeline,Octane,,,308,339,399,,Unknown,Unknown,,,,,,,06:56,06:59,07:56,0,0,0,0,Wraith,Lifeline,Octane,10,1,0,0,0,0,0,PS4,PS4,FALSE,Alternator,Triple Take
GID-67,67,1/24/2021,10:22,7,Ranked,Worlds Edge,Refinery,Overlook,,Wraith,2,Horizon,Bangalore,,,258,298,0,,Plat 4,Plat 4,,,,,,,07:25,08:45,08:45,0,0,0,1,Wraith,Horizon,Bangalore,13,0,0,0,0,0,0,PS4,Xbox,FALSE,Volt,R301
GID-68,68,1/24/2021,10:38,7,Ranked,Worlds Edge,Sorting Factory,Sorting Factory,,Bangalore,2,Wraith,Horizon,,,45,139,14,,Unknown,Unknown,,,,,,,02:04,02:01,02:05,0,0,0,0,Wraith,Horizon,Bangalore,19,0,0,0,0,0,0,PS4,PS4,TRUE,R-99,Wingman
GID-69,69,1/24/2021,10:46,7,Ranked,Worlds Edge,Skyhook,Capitol City,,Bangalore,3,Wraith,Pathfinder,,,576,391,784,,Unknown,Unknown,,,,,,,11:38,11:59,11:03,0,0,0,0,Pathfinder,Bangalore,Wraith,8,0,0,0,0,0,0,PS4,PS4,FALSE,Volt,G7-Scout
GID-70,70,1/24/2021,11:40,7,Ranked,Worlds Edge,Countdown,Sorting Factory,,Wraith,3,Horizon,Bangalore,,,"1,380",267,396,,Plat 1,Plat 4,,,,,,,21:58,10:12,16:51,2,1,2,3,Bangalore,Horizon,Wraith,2,0,0,0,0,0,0,PS4,PS4,FALSE,R-99,Hemlok
GID-71,71,1/24/2021,12:07,7,Ranked,Worlds Edge,The Train Yard,The Train Yard,,Bangalore,1,Octane,Wraith,,,92,343,121,,Unknown,Unknown,,,,,,,01:46,01:46,01:46,0,1,0,0,Bangalore,Octane,Wraith,19,0,0,1,0,0,0,PS4,PS4,TRUE,Devotion,Sentinel
GID-72,72,1/24/2021,12:46,7,Ranked,Worlds Edge,Lava Fissure,The Dome,,Wraith,2,Horizon,Caustic,,,353,"1,135","1,318",,Unknown,Unknown,,,,,,,17:29,17:29,17:29,1,5,5,1,,,,1,0,1,0,0,0,0,Unknown,PS4,FALSE,R-99,Hemlok
GID-73,73,1/24/2021,13:06,7,Ranked,Worlds Edge,Sorting Factory,The Train Yard,,Wraith,2,Revenant,Gibraltar,,,726,811,316,,Gold 1,Plat 4,,,,,,,14:58,15:15,15:16,1,2,1,1,Wraith,Revenant,Gibraltar,8,0,1,3,0,0,2,PS4,PS4,FALSE,Triple Take,Volt
GID-74,74,1/24/2021,14:51,7,Trios,Olympus,Gardens,Gardens,,Bangalore,3,Lifeline,Loba,,,133,92,30,,,,,,,,,,01:28,01:29,01:02,0,0,0,1,Loba,Lifeline,Bangalore,16,0,0,0,0,0,0,Xbox,PS4,TRUE,Alternator,
GID-75,75,1/24/2021,14:59,7,Trios,Olympus,Oasis,Oasis,,Wraith,3,Caustic,Rampart,,,"1,422",968,"1,234",,,,,,,,,,20:19,22:03,22:03,4,4,2,4,Wraith,Rampart,Caustic,2,1,0,0,0,0,0,PS4,Unknown,FALSE,Flatline,Havoc
GID-76,76,1/24/2021,17:35,7,Ranked,Worlds Edge,Launch Site,Harvester,,Revenant,2,Wraith,Gibraltar,,,333,288,290,,Plat 4,Plat 4,,,,,,,09:48,09:49,09:49,0,0,0,0,Gibraltar,Wraith,Revenant,12,0,0,0,0,0,0,PS4,PS4,FALSE,G7-Scout,R-99
GID-77,77,1/25/2021,20:19,7,Ranked,Worlds Edge,Sorting Factory,Sorting Factory,,Wraith,3,Lifeline,Bloodhound,,,252,682,484,,Unknown,Unknown,,,,,,,07:32,07:32,07:32,0,3,0,0,Wraith,Lifeline,Bloodhound,12,0,2,0,0,1,0,Xbox,Xbox,FALSE,R-99,G7-Scout
GID-78,78,1/25/2021,20:33,7,Ranked,Worlds Edge,Sorting Factory,The Dome,,Wraith,1,Bloodhound,Gibraltar,,,610,657,"1,129",,Unknown,Gold 4,,,,,,,20:19,20:19,20:19,1,1,3,2,Bloodhound,Gibraltar,Wraith,2,0,1,2,0,0,1,Xbox,Xbox,FALSE,Havoc,G7-Scout
GID-79,79,1/25/2021,20:57,7,Ranked,Worlds Edge,Sorting Factory,Overlook,,Bangalore,2,Wraith,Bloodhound,,,597,227,351,,Gold 2,Plat 4,,,,,,,14:41,14:41,14:39,2,0,1,2,Bangalore,Bloodhound,Wraith,11,2,0,0,0,0,0,PS4,PS4,FALSE,R-99,G7-Scout
GID-80,80,1/25/2021,21:15,7,Ranked,Worlds Edge,Sorting Factory,Refinery,,Bangalore,1,Horizon,Wraith,,,979,779,483,,Unknown,Unknown,,,,,,,18:26,19:27,17:51,0,3,3,0,Bangalore,Wraith,Horizon,5,1,0,2,0,0,0,Xbox,Xbox,FALSE,Hemlok,Volt
GID-81,81,1/25/2021,21:38,7,Ranked,Worlds Edge,Harvester,Lava Fissure,,Bangalore,3,Revenant,Bloodhound,,,496,416,60,,Plat 4,Plat 4,,,,,,,14:06,17:38,14:20,0,0,0,1,Bangalore,Bloodhound,Revenant,4,0,0,0,0,0,0,Xbox,Xbox,FALSE,Hemlok,Alternator
